Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
00:05:31:020428721,00:05:31:020821516,392795
00:05:31:020823128,00:05:31:021039812,216684
00:05:31:021040656,00:05:31:021262849,222193
00:05:31:021263679,00:05:31:021465973,202294
00:05:31:021466818,00:05:31:021678383,211565
00:05:31:021679168,00:05:31:021885430,206262
00:05:31:021886270,00:05:31:022092894,206624
00:05:31:022093694,00:05:31:022334792,241098
00:05:31:022335874,00:05:31:022547917,212043
00:05:31:022548974,00:05:31:022785442,236468
00:05:31:022786456,00:05:31:023004851,218395
00:05:31:023005577,00:05:31:023182572,176995
00:05:31:023182987,00:05:31:023350763,167776
00:05:31:023351128,00:05:31:023519591,168463
00:05:31:023520013,00:05:31:023708728,188715
00:05:31:023709257,00:05:31:023886445,177188
00:05:31:023886816,00:05:31:024079265,192449
00:05:31:024079701,00:05:31:024261207,181506
00:05:31:024261582,00:05:31:024443645,182063
00:05:31:024444013,00:05:31:024641395,197382
00:05:31:024641844,00:05:31:024833775,191931
00:05:31:024834216,00:05:31:025003454,169238
00:05:31:025003989,00:05:31:025198242,194253
00:05:31:025198733,00:05:31:025389801,191068
00:05:31:025390954,00:05:31:025662947,271993
00:05:31:025664441,00:05:31:025895613,231172
00:05:31:025896663,00:05:31:026121887,225224
00:05:31:026122935,00:05:31:026555884,432949
00:05:31:026556291,00:05:31:026741248,184957
00:05:31:026741483,00:05:31:026908852,167369
00:05:31:026909023,00:05:31:027087745,178722
00:05:31:027087904,00:05:31:027258061,170157
00:05:31:027258341,00:05:31:027443093,184752
00:05:31:027443273,00:05:31:027631002,187729
00:05:31:027631336,00:05:31:027803786,172450
00:05:31:027804016,00:05:31:027974827,170811
00:05:31:027974972,00:05:31:028148563,173591
00:05:31:028148889,00:05:31:028315957,167068
00:05:31:028316219,00:05:31:028484978,168759
00:05:31:028485240,00:05:31:028733263,248023
00:05:31:028733746,00:05:31:028935519,201773
00:05:31:028935819,00:05:31:029109891,174072
00:05:31:029110250,00:05:31:029276451,166201
00:05:31:029276664,00:05:31:029459477,182813
00:05:31:029459665,00:05:31:029636952,177287
00:05:31:029637162,00:05:31:029804878,167716
00:05:31:029805064,00:05:31:029965594,160530
00:05:31:029965772,00:05:31:030128472,162700
00:05:31:030128998,00:05:31:030298389,169391
