Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
00:06:35:672586275,00:06:35:673035769,449494
00:06:35:673036199,00:06:35:673225150,188951
00:06:35:673225352,00:06:35:673406493,181141
00:06:35:673406650,00:06:35:673587737,181087
00:06:35:673587891,00:06:35:673781466,193575
00:06:35:673781895,00:06:35:674001919,220024
00:06:35:674002361,00:06:35:674173558,171197
00:06:35:674173760,00:06:35:674355115,181355
00:06:35:674355272,00:06:35:674523975,168703
00:06:35:674524133,00:06:35:674712715,188582
00:06:35:674713100,00:06:35:674891267,178167
00:06:35:674891518,00:06:35:675056974,165456
00:06:35:675057156,00:06:35:675214308,157152
00:06:35:675214470,00:06:35:675369511,155041
00:06:35:675369666,00:06:35:675538331,168665
00:06:35:675538493,00:06:35:675708037,169544
00:06:35:675708229,00:06:35:675888688,180459
00:06:35:675888861,00:06:35:676047585,158724
00:06:35:676047775,00:06:35:676294165,246390
00:06:35:676294432,00:06:35:676488114,193682
00:06:35:676488479,00:06:35:676671069,182590
00:06:35:676671325,00:06:35:676862831,191506
00:06:35:676862998,00:06:35:677412077,549079
00:06:35:677412308,00:06:35:677596258,183950
00:06:35:677596674,00:06:35:677764441,167767
00:06:35:677764712,00:06:35:677930856,166144
00:06:35:677931198,00:06:35:678100505,169307
00:06:35:678101004,00:06:35:678268678,167674
00:06:35:678268898,00:06:35:678450521,181623
00:06:35:678450820,00:06:35:678619765,168945
00:06:35:678619949,00:06:35:678789538,169589
00:06:35:678789738,00:06:35:678957867,168129
00:06:35:678958129,00:06:35:679139780,181651
00:06:35:679139986,00:06:35:679323203,183217
00:06:35:679323572,00:06:35:679490443,166871
00:06:35:679490654,00:06:35:679685170,194516
00:06:35:679685372,00:06:35:679897836,212464
00:06:35:679898070,00:06:35:680060939,162869
00:06:35:680061158,00:06:35:680243969,182811
00:06:35:680244119,00:06:35:680412656,168537
00:06:35:680412879,00:06:35:680568614,155735
00:06:35:680568765,00:06:35:680738464,169699
00:06:35:680738650,00:06:35:680894097,155447
00:06:35:680894295,00:06:35:681062626,168331
00:06:35:681062775,00:06:35:681218673,155898
00:06:35:681218827,00:06:35:681374482,155655
00:06:35:681374637,00:06:35:681543779,169142
00:06:35:681543934,00:06:35:681720506,176572
00:06:35:681720704,00:06:35:681895602,174898
00:06:35:681896076,00:06:35:682066872,170796
00:06:35:682067163,00:06:35:682233646,166483
00:06:35:682233887,00:06:35:682415015,181128
00:06:35:682415412,00:06:35:682584410,168998
00:06:35:682584677,00:06:35:682743897,159220
00:06:35:682744325,00:06:35:682925015,180690
00:06:35:682925308,00:06:35:683089200,163892
00:06:35:683089364,00:06:35:683247951,158587
00:06:35:683248119,00:06:35:683418781,170662
00:06:35:683418987,00:06:35:683588212,169225
00:06:35:683588387,00:06:35:683770470,182083
00:06:35:683770768,00:06:35:683938762,167994
00:06:35:683939000,00:06:35:684105544,166544
00:06:35:684105906,00:06:35:684287400,181494
00:06:35:684287752,00:06:35:684456520,168768
00:06:35:684456791,00:06:35:684652979,196188
00:06:35:684653347,00:06:35:684822975,169628
00:06:35:684823192,00:06:35:685003278,180086
00:06:35:685003529,00:06:35:685184313,180784
00:06:35:685184468,00:06:35:685366220,181752
00:06:35:685366490,00:06:35:685534493,168003
00:06:35:685534645,00:06:35:685721039,186394
00:06:35:685721256,00:06:35:685885775,164519
00:06:35:685885935,00:06:35:686054320,168385
00:06:35:686054473,00:06:35:686210725,156252
00:06:35:686210913,00:06:35:686367075,156162
00:06:35:686367243,00:06:35:686522508,155265
00:06:35:686522766,00:06:35:686950286,427520
00:06:35:686950545,00:06:35:687123551,173006
00:06:35:687123839,00:06:35:687290187,166348
