Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
00:19:59:978346126,00:19:59:978673416,327290
00:19:59:978673840,00:19:59:984421314,5747474
00:19:59:984423527,00:19:59:984600972,177445
00:19:59:984601274,00:19:59:988418053,3816779
00:19:59:988420187,00:19:59:992420488,4000301
00:19:59:992422519,00:19:59:996409992,3987473
00:19:59:996411148,00:20:00:000406807,3995659
00:20:00:000408391,00:20:00:004409981,4001590
00:20:00:004411128,00:20:00:008416099,4004971
00:20:00:008417412,00:20:00:012414555,3997143
00:20:00:012416167,00:20:00:016416390,4000223
00:20:00:016418007,00:20:00:020413042,3995035
00:20:00:020414656,00:20:00:024413075,3998419
00:20:00:024414756,00:20:00:028430279,4015523
00:20:00:028431853,00:20:00:032413208,3981355
00:20:00:032414992,00:20:00:036414492,3999500
00:20:00:036416223,00:20:00:040411294,3995071
00:20:00:040412911,00:20:00:044405632,3992721
00:20:00:044407657,00:20:00:048639236,4231579
00:20:00:048641153,00:20:00:052421056,3779903
00:20:00:052422928,00:20:00:056406396,3983468
00:20:00:056407516,00:20:00:060414047,4006531
00:20:00:060415986,00:20:00:064411556,3995570
00:20:00:064412457,00:20:00:068411058,3998601
00:20:00:068412578,00:20:00:072408796,3996218
00:20:00:072409569,00:20:00:072574626,165057
00:20:00:072574952,00:20:00:072719964,145012
00:20:00:072720318,00:20:00:072871382,151064
00:20:00:072871741,00:20:00:073014988,143247
00:20:00:073015230,00:20:00:073166327,151097
00:20:00:073166563,00:20:00:073309443,142880
00:20:00:073309642,00:20:00:073452790,143148
00:20:00:073452985,00:20:00:073587919,134934
00:20:00:073588140,00:20:00:073733058,144918
00:20:00:073733305,00:20:00:073882813,149508
00:20:00:073883174,00:20:00:074030986,147812
00:20:00:074031257,00:20:00:074174313,143056
00:20:00:074174582,00:20:00:074321078,146496
00:20:00:074321419,00:20:00:074465238,143819
00:20:00:074465483,00:20:00:074607633,142150
00:20:00:074607856,00:20:00:074753293,145437
00:20:00:074753568,00:20:00:074895801,142233
00:20:00:074896028,00:20:00:075040376,144348
00:20:00:075040599,00:20:00:075183432,142833
00:20:00:075183660,00:20:00:075324534,140874
00:20:00:075324729,00:20:00:075468890,144161
00:20:00:075469075,00:20:00:075614989,145914
00:20:00:075615245,00:20:00:075760115,144870
00:20:00:075760412,00:20:00:075900788,140376
00:20:00:075901006,00:20:00:076047423,146417
00:20:00:076047673,00:20:00:076189430,141757
00:20:00:076189643,00:20:00:076335174,145531
00:20:00:076335397,00:20:00:076488668,153271
00:20:00:076488877,00:20:00:076641734,152857
00:20:00:076641986,00:20:00:076788906,146920
00:20:00:076789478,00:20:00:076948820,159342
00:20:00:076949083,00:20:00:077091415,142332
