Start - HH:MM:SS:NANOSECONDS,     End - HH:MM:SS:NANOSECONDS,     Difference in NANOSECONDS
23:47:23:959510353,     23:47:23:959990223,     479870
23:47:23:959992720,     23:47:23:960239482,     246762
23:47:23:960240994,     23:47:23:960465662,     224668
23:47:23:960466896,     23:47:23:960689364,     222468
23:47:23:960691299,     23:47:23:960906620,     215321
23:47:23:960908717,     23:47:23:961121868,     213151
23:47:23:961123771,     23:47:23:961336481,     212710
23:47:23:961337721,     23:47:23:961551584,     213863
23:47:23:961552712,     23:47:23:961761155,     208443
23:47:23:961762965,     23:47:23:962032816,     269851
23:47:23:962036033,     23:47:23:962304889,     268856
23:47:23:962306406,     23:47:23:962517050,     210644
23:47:23:962518104,     23:47:23:962725945,     207841
23:47:23:962727369,     23:47:23:962970406,     243037
23:47:23:962971879,     23:47:23:963231703,     259824
23:47:23:963232970,     23:47:23:963461778,     228808
23:47:23:963462863,     23:47:23:963665899,     203036
23:47:23:963666948,     23:47:23:963880960,     214012
23:47:23:963882252,     23:47:23:964100319,     218067
23:47:23:964101809,     23:47:23:964319159,     217350
23:47:23:964320319,     23:47:23:964528871,     208552
23:47:23:964529796,     23:47:23:964748198,     218402
23:47:23:964749698,     23:47:23:964977633,     227935
23:47:23:964978539,     23:47:23:965186371,     207832
23:47:23:965187232,     23:47:23:965403894,     216662
23:47:23:965404917,     23:47:23:965615005,     210088
23:47:23:965615900,     23:47:23:965856497,     240597
23:47:23:965857731,     23:47:23:966067745,     210014
23:47:23:966068634,     23:47:23:966264151,     195517
23:47:23:966265194,     23:47:23:966468615,     203421
23:47:23:966469685,     23:47:23:966687269,     217584
23:47:23:966689393,     23:47:23:966932905,     243512
23:47:23:966935181,     23:47:23:967178250,     243069
23:47:23:967179880,     23:47:23:967418401,     238521
23:47:23:967419853,     23:47:23:967649435,     229582
23:47:23:967650851,     23:47:23:967892630,     241779
23:47:23:967898289,     23:47:23:968118742,     220453
23:47:23:968120221,     23:47:23:968371781,     251560
23:47:23:968373493,     23:47:23:968610183,     236690
